employee_id,pto_days,sick_days
100000,16,5
100001,24,3
100002,3,4
100003,6,2
100004,23,3
100005,13,1
100006,17,7
100007,23,7
100008,0,5
100009,8,0
100010,1,7
100011,23,3
100012,3,4
100013,9,6
100014,0,2
100015,8,2
100016,10,3
100017,22,4
100018,20,0
100019,17,4
100020,17,0
100021,2,2
100022,16,1
100023,7,7
100024,7,6
100025,22,1
100026,24,6
100027,20,3
100028,23,4
100029,5,3
100030,17,3
100031,6,3
100032,17,2
100033,11,6
100034,6,7
100035,0,4
100036,9,1
100037,11,2
100038,2,4
100039,12,6
100040,5,2
100041,2,3
100042,14,0
100043,20,5
100044,5,7
100045,10,2
100046,15,0
100047,22,2
100048,15,4
100049,5,2
100050,16,7
100051,19,4
100052,17,0
100053,17,7
100054,21,1
100055,1,0
100056,23,3
100057,10,1
100058,13,6
100059,18,5
100060,15,2
100061,18,7
100062,12,3
100063,24,5
100064,14,7
100065,3,3
100066,7,6
100067,20,7
100068,15,1
100069,21,0
100070,22,6
100071,24,4
100072,4,3
100073,6,4
100074,3,0
100075,5,5
100076,8,3
100077,10,3
100078,20,6
100079,15,6
100080,15,7
100081,5,6
100082,2,0
100083,0,2
100084,21,5
100085,23,4
100086,24,0
100087,17,4
100088,11,6
100089,1,6
100090,8,7
100091,24,5
100092,19,7
100093,8,1
100094,11,1
100095,9,2
100096,0,0
100097,21,0
100098,4,5
100099,13,5
100100,8,5
100101,13,3
100102,0,5
100103,6,4
100104,5,1
100105,23,0
100106,7,3
100107,10,1
100108,1,7
100109,1,7
100110,20,0
100111,24,5
100112,23,5
100113,24,6
100114,15,7
100115,21,6
100116,8,7
100117,1,2
100118,1,6
100119,21,2
100120,16,3
100121,20,3
100122,10,3
100123,21,2
100124,5,1
100125,13,0
100126,14,5
100127,12,7
100128,13,4
100129,23,7
100130,0,5
100131,12,6
100132,9,7
100133,9,3
100134,3,5
100135,11,5
100136,5,6
100137,4,1
100138,8,2
100139,9,7
100140,11,5
100141,3,4
100142,3,4
100143,24,5
100144,11,4
100145,19,4
100146,22,5
100147,21,1
100148,20,2
100149,8,1
100150,16,1
100151,19,4
100152,19,0
100153,0,1
100154,16,7
100155,12,0
100156,12,0
100157,18,2
100158,13,3
100159,9,1
100160,13,0
100161,4,5
100162,17,2
100163,15,1
100164,18,1
100165,19,5
100166,4,7
100167,5,6
100168,24,2
100169,8,2
100170,10,3
100171,23,1
100172,22,5
100173,22,0
100174,9,5
100175,14,1
100176,20,2
100177,6,2
100178,4,4
100179,17,2
100180,0,3
100181,5,4
100182,16,0
100183,20,0
100184,11,7
100185,0,3
100186,6,3
100187,4,6
100188,19,4
100189,6,7
100190,16,6
100191,11,6
100192,2,0
100193,13,6
100194,14,6
100195,18,2
100196,17,4
100197,9,4
100198,8,7
100199,2,0
100200,20,2
100201,15,2
100202,20,0
100203,10,5
100204,16,0
100205,8,7
100206,2,3
100207,9,4
100208,24,2
100209,4,3
100210,13,7
100211,11,2
100212,8,3
100213,6,7
100214,6,5
100215,7,2
100216,20,1
100217,24,2
100218,1,1
100219,4,7
100220,18,5
100221,8,1
100222,14,7
100223,9,6
100224,18,0
100225,21,1
100226,2,3
100227,13,6
100228,20,5
100229,7,1
100230,21,0
100231,6,3
100232,0,0
100233,8,2
100234,18,5
100235,6,4
100236,14,3
100237,5,0
100238,14,1
100239,21,6
100240,5,6
100241,16,5
100242,8,2
100243,2,5
100244,5,3
100245,15,6
100246,15,6
100247,8,3
100248,7,7
100249,7,5
100250,23,5
100251,7,5
100252,13,5
100253,17,4
100254,14,2
100255,5,6
100256,19,0
100257,19,7
100258,5,7
100259,12,4
100260,12,3
100261,16,4
100262,22,5
100263,2,4
100264,6,7
100265,19,4
100266,10,6
100267,17,3
100268,19,5
100269,6,3
100270,9,0
100271,16,4
100272,16,2
100273,8,2
100274,2,4
100275,8,4
100276,23,1
100277,14,0
100278,11,5
100279,6,6
100280,22,3
100281,12,6
100282,17,1
100283,6,1
100284,15,6
100285,22,4
100286,7,2
100287,10,4
100288,5,4
100289,23,7
100290,9,2
100291,13,3
100292,5,3
100293,19,6
100294,4,7
100295,6,3
