employee_id,medical_plan,dependents,dental_plan,vision_plan,monthly_benefit_cost
100000,Bronze,0,Yes,Yes,100
100001,Silver,1,Yes,Yes,220
100002,Bronze,1,Yes,Yes,100
100003,Gold,2,No,No,400
100004,Bronze,3,Yes,No,100
100005,Gold,1,Yes,No,400
100006,Bronze,2,Yes,Yes,100
100007,Bronze,2,Yes,No,100
100008,Silver,0,Yes,No,220
100009,Silver,0,Yes,No,220
100010,Silver,0,Yes,No,220
100011,Gold,2,Yes,Yes,400
100012,Bronze,3,No,Yes,100
100013,Silver,1,Yes,Yes,220
100014,Silver,2,No,Yes,220
100015,Gold,2,Yes,No,400
100016,Bronze,1,Yes,No,100
100017,Silver,0,Yes,No,220
100018,Silver,0,Yes,Yes,220
100019,Gold,1,Yes,Yes,400
100020,Silver,2,Yes,No,220
100021,Silver,2,Yes,No,220
100022,Silver,3,No,Yes,220
100023,Gold,1,Yes,No,400
100024,Gold,3,Yes,Yes,400
100025,Bronze,2,Yes,Yes,100
100026,Silver,0,Yes,Yes,220
100027,Silver,3,No,Yes,220
100028,Bronze,3,Yes,Yes,100
100029,Silver,0,No,Yes,220
100030,Silver,1,Yes,Yes,220
100031,Bronze,1,Yes,Yes,100
100032,Silver,3,Yes,Yes,220
100033,Silver,3,No,Yes,220
100034,Silver,0,No,No,220
100035,Bronze,2,Yes,Yes,100
100036,Bronze,1,No,Yes,100
100037,Gold,0,Yes,Yes,400
100038,Silver,1,Yes,No,220
100039,Silver,3,Yes,Yes,220
100040,Gold,0,Yes,Yes,400
100041,Silver,3,Yes,Yes,220
100042,Silver,1,Yes,No,220
100043,Bronze,0,Yes,Yes,100
100044,Silver,3,Yes,Yes,220
100045,Bronze,0,Yes,Yes,100
100046,Silver,3,Yes,Yes,220
100047,Bronze,0,Yes,Yes,100
100048,Bronze,2,No,Yes,100
100049,Bronze,1,Yes,Yes,100
100050,Silver,3,Yes,No,220
100051,Bronze,2,Yes,Yes,100
100052,Bronze,0,Yes,Yes,100
100053,Silver,3,Yes,No,220
100054,Bronze,1,No,Yes,100
100055,Bronze,2,Yes,Yes,100
100056,Bronze,2,Yes,No,100
100057,Silver,2,Yes,Yes,220
100058,Silver,3,No,Yes,220
100059,Silver,3,Yes,Yes,220
100060,Gold,1,Yes,No,400
100061,Bronze,1,Yes,No,100
100062,Bronze,1,Yes,Yes,100
100063,Bronze,3,Yes,Yes,100
100064,Bronze,1,Yes,Yes,100
100065,Gold,2,Yes,No,400
100066,Silver,1,No,Yes,220
100067,Bronze,3,No,Yes,100
100068,Gold,2,Yes,Yes,400
100069,Silver,3,Yes,Yes,220
100070,Silver,1,No,No,220
100071,Silver,2,Yes,No,220
100072,Silver,3,Yes,Yes,220
100073,Silver,0,No,Yes,220
100074,Bronze,1,Yes,Yes,100
100075,Bronze,0,Yes,Yes,100
100076,Bronze,0,Yes,Yes,100
100077,Silver,0,Yes,Yes,220
100078,Bronze,2,Yes,Yes,100
100079,Silver,3,Yes,Yes,220
100080,Gold,0,Yes,No,400
100081,Silver,2,Yes,Yes,220
100082,Silver,1,Yes,No,220
100083,Silver,2,Yes,Yes,220
100084,Gold,3,Yes,Yes,400
100085,Silver,0,Yes,No,220
100086,Silver,3,Yes,No,220
100087,Bronze,1,No,Yes,100
100088,Gold,0,Yes,Yes,400
100089,Silver,1,Yes,Yes,220
100090,Silver,0,Yes,Yes,220
100091,Silver,0,Yes,Yes,220
100092,Silver,3,Yes,Yes,220
100093,Silver,0,Yes,Yes,220
100094,Silver,2,Yes,Yes,220
100095,Silver,3,Yes,Yes,220
100096,Silver,0,No,Yes,220
100097,Bronze,3,Yes,Yes,100
100098,Silver,0,Yes,Yes,220
100099,Silver,3,Yes,No,220
100100,Silver,2,Yes,Yes,220
