employee_id,annual_salary,annual_bonus_target
100000,102846,6876.07
100001,188513,26439.51
100002,57325,6420.48
100003,112323,12962.87
100004,189493,33007.55
100005,52213,3648.14
100006,89162,7054.44
100007,197187,31188.75
100008,109408,19297.4
100009,78414,14240.85
100010,99636,12016.69
100011,75271,7929.66
100012,115460,22172.41
100013,147286,15069.45
100014,100730,6296.32
100015,67045,12365.93
100016,202598,30400.95
100017,161722,25206.61
100018,80606,11544.88
100019,140928,10994.62
100020,56648,5965.34
100021,77130,7913.26
100022,283356,28878.59
100023,110222,9499.66
100024,125628,11001.55
100025,129136,11874.19
100026,57689,9020.78
100027,97810,17590.81
100028,81152,15044.06
100029,86162,8914.38
100030,102219,8609.38
100031,95067,16400.86
100032,106314,17956.37
100033,111182,13786.71
100034,140659,27801.01
100035,75896,3827.95
100036,117258,17589.44
100037,132689,11797.37
100038,65237,9003.7
100039,56330,9881.28
100040,79977,15957.1
100041,97511,12740.18
100042,53716,5866.92
100043,96823,5102.4
100044,81449,15466.94
100045,104304,15982.8
100046,68663,3642.65
100047,164472,11566.36
100048,104114,18921.46
100049,107676,10272.49
100050,119722,14674.27
100051,194725,23276.01
100052,97671,16642.99
100053,48205,6429.91
100054,58105,6915.52
100055,104902,13431.08
100056,126195,14573.91
100057,189012,13165.1
100058,116686,11747.08
100059,153743,19161.75
100060,57690,10884.61
100061,71880,3738.58
100062,123182,17673.64
100063,90806,7556.66
100064,77620,6007.3
100065,127431,23979.25
100066,94168,12572.03
100067,301264,15469.85
100068,100791,16606.93
100069,243966,29034.3
100070,86457,12727.79
100071,83855,11615.52
100072,75010,10710.51
100073,49230,2741.93
100074,237514,15115.47
100075,150651,24616.47
100076,168662,17457.95
100077,96789,17010.95
100078,132606,24328.21
100079,162067,12999.37
100080,134851,26892.6
100081,136317,12166.39
100082,116534,14322.8
100083,127872,11088.01
100084,98567,19261.59
100085,148195,23422.22
100086,69966,4601.29
100087,59394,4673.81
100088,77323,13001.98
100089,131475,22437.02
100090,109728,5664.13
100091,56150,10450.61
100092,103988,12871.65
100093,131821,23980.8
100094,115921,7229.41
100095,74104,4488.41
100096,267632,32598.98
100097,60105,11526.24
100098,57801,6885.85
100099,164749,21264.5
100100,81038,9964.95
100101,70082,12616.74
100102,189568,37462.02
100103,84096,5797.79
100104,79544,9604.9
100105,87638,7863.1
100106,112570,16200.48
100107,70455,5837.82
100108,159460,9818.22
100109,146586,9615.15
100110,132598,12209.51
100111,71865,6507.54
100112,122213,15432.95
100113,59477,7093.88
100114,71627,6672.61
100115,87755,13995.46
100116,60329,8710.47
100117,136254,15774.97
100118,157015,9074.67
100119,123343,8609.99
100120,41613,3718.64
100121,113263,21037.95
100122,85538,15655.57
100123,120362,20601.27
100124,151745,9791.01
100125,145140,28847.0
100126,67779,7433.05
100127,294544,58089.13
100128,133460,12975.08
100129,192571,16217.38
100130,126042,17505.37
100131,144544,18109.97
100132,104465,19553.65
100133,97586,11999.25
100134,113101,18506.97
100135,62407,10728.38
100136,117211,8165.15
100137,79370,9510.58
100138,110321,19995.48
100139,117117,7834.12
100140,129893,16055.31
100141,77238,8573.07
100142,79382,8974.13
100143,200798,23784.03
100144,125712,22731.77
100145,111679,19894.35
100146,142064,20137.34
100147,128092,20136.75
100148,52614,9830.3
100149,75760,14849.65
100150,84228,5873.62
100151,155364,30326.35
100152,48027,9404.07
100153,202176,26678.86
100154,138936,26691.58
100155,318097,42700.6
100156,54172,8921.94
100157,174465,22956.4
100158,57107,4078.79
100159,74317,13400.85
100160,53528,6161.47
100161,126559,21126.86
100162,55343,3761.33
100163,123439,11439.93
100164,88285,5155.87
100165,212694,38160.63
100166,72472,12455.19
100167,249372,28935.45
100168,140082,12578.35
100169,155677,22458.5
100170,103378,13733.84
100171,128747,25404.39
100172,138017,21814.41
100173,123812,20781.89
100174,93890,7376.19
100175,79725,8874.9
100176,53269,3299.91
100177,194770,21022.59
100178,201029,23489.4
100179,103537,10157.69
100180,88091,6033.58
100181,124759,6676.47
100182,55559,3375.75
100183,55184,5254.53
100184,97587,16057.01
100185,127544,17288.19
100186,167697,11015.08
100187,126707,18167.55
100188,56832,7138.7
100189,148984,28180.5
100190,55432,10657.57
100191,69912,7071.81
100192,151623,20031.06
100193,95256,7059.14
100194,81889,15097.79
100195,113066,13920.71
100196,97460,18998.25
100197,189743,27429.75
100198,49581,4522.07
100199,104776,5876.66
100200,97963,8669.93
100201,88866,8409.89
100202,72360,3956.79
100203,157813,18350.08
100204,99512,9502.62
100205,206630,10498.83
100206,163983,32534.63
100207,57421,8097.74
100208,108025,12575.23
100209,166351,29967.51
100210,133091,17276.95
100211,87888,9702.9
100212,91142,5486.89
100213,65778,10618.19
100214,157108,25250.81
100215,120818,7814.33
100216,106678,8778.17
100217,59332,3467.18
100218,115284,11856.54
100219,68769,11521.39
100220,79323,7160.88
100221,75952,9876.99
100222,107243,11736.84
100223,76845,7874.35
100224,79112,10038.24
100225,50088,7159.34
100226,274346,45706.01
100227,286874,28514.76
100228,64840,3373.47
100229,96359,12687.51
100230,115344,18924.45
100231,260601,19913.15
100232,160477,25018.13
100233,87791,7940.27
100234,128499,16845.15
100235,121020,9582.63
100236,78207,8288.46
100237,185652,33110.39
100238,215034,16850.42
100239,69714,10535.74
100240,101987,9659.05
100241,130453,18345.1
100242,73232,6550.89
100243,205831,26572.09
100244,67940,9397.57
100245,72288,11029.81
100246,61709,4703.34
100247,133737,23564.59
100248,162633,24901.64
100249,138854,8915.93
100250,66343,3558.04
100251,55765,6333.3
100252,71158,3821.51
100253,84341,11672.19
100254,140835,22651.79
100255,120039,8927.87
100256,62641,9578.04
100257,43888,4178.52
100258,85846,6230.85
100259,155565,17217.61
100260,84156,11593.47
100261,132226,19892.3
100262,68113,6805.18
100263,79120,11042.58
100264,120689,13887.29
100265,206940,18235.99
100266,242580,23221.15
100267,247395,32535.13
100268,114522,8849.26
100269,69635,4695.29
100270,76311,6061.78
100271,139260,10064.67
100272,49908,5248.14
100273,255120,40853.43
100274,127430,23342.75
100275,92430,8589.86
100276,58722,4551.59
100277,58617,4780.56
100278,59608,10998.39
100279,131610,11072.36
100280,88411,6110.19
100281,90225,15004.4
100282,60901,9929.39
100283,241616,24390.92
100284,129482,22834.89
100285,82400,7284.42
100286,132396,8928.93
100287,107500,19768.36
100288,80241,7236.22
100289,129695,16158.2
100290,109318,10233.08
100291,97978,10846.74
100292,136324,13369.71
100293,95141,11599.42
100294,134802,14187.14
100295,59239,7915.18
100296,184669,32408.12
100297,44150,7724.08
100298,159214,15940.74
100299,136036,13661.28
100300,97174,17551.53
100301,343384,47175.93
100302,92248,11491.8
100303,163985,21584.93
100304,129178,8301.5
100305,159001,25252.81
100306,95946,11940.33
100307,65976,11985.0
100308,134159,26055.37
100309,141450,25823.72
100310,66590,4421.8
100311,64916,4903.68
100312,143015,8831.28
100313,92158,11569.79
100314,104808,8586.66
100315,217079,24036.94
100316,167419,29287.28
100317,96408,8815.15
100318,47973,6405.49
100319,99345,15122.2
100320,126285,23054.59
100321,191184,36242.23
100322,171911,34265.74
100323,98574,19147.04
100324,112625,15927.45
100325,59517,5990.85
100326,78593,6749.7
100327,56105,9402.6
100328,44091,4647.52
100329,95690,18551.12
100330,103401,10673.76
100331,247730,39267.48
100332,163641,21623.92
100333,125897,11194.43
100334,130454,14040.0
100335,170150,12300.99
100336,141799,17562.32
100337,59180,9963.31
100338,77515,13488.49
100339,86236,9404.23
100340,81616,14791.64
100341,227138,31489.82
100342,94945,15405.87
100343,56756,3235.25
100344,59184,5201.56
100345,130165,18296.21
100346,283094,54311.88
100347,104849,13115.26
100348,99511,11914.27
100349,207118,18285.38
100350,95632,7487.49
100351,59268,5035.21
100352,143047,24545.52
100353,130591,7089.22
100354,124732,8358.05
100355,175256,16456.66
100356,134784,23330.6
100357,190157,12190.77
100358,136219,19526.65
100359,75544,12234.13
100360,57239,6400.15
100361,160395,21993.29
100362,131780,16237.36
100363,43130,6720.71
100364,130476,20617.2
100365,56840,8858.45
100366,51179,7741.82
100367,100607,8381.8
100368,138824,16194.21
100369,89120,15685.1
100370,79143,14579.27
100371,55185,10101.14
100372,240613,19588.55
100373,155386,13160.75
100374,105745,9745.57
100375,176159,13459.6
100376,72073,9876.47
100377,97048,18164.11
100378,124455,20626.61
100379,154166,15488.68
100380,91006,12775.12
100381,77484,5952.8
100382,94615,10367.73
100383,195954,10946.34
100384,81684,8011.6
100385,142040,26837.32
100386,155554,17998.38
100387,234871,35573.19
100388,61312,9774.82
100389,124048,18874.84
100390,244711,44892.99
100391,175968,19517.75
100392,66292,10779.1
100393,68923,3869.53
100394,152703,15092.73
100395,97114,17061.08
100396,130862,24642.27
100397,77257,11086.16
100398,98446,13147.56
100399,180737,21237.25
100400,87047,4956.39
100401,155694,13919.67
100402,53055,7747.57
100403,46704,4574.12
100404,287361,47946.42
100405,201441,14527.51
100406,89677,12141.57
100407,143055,23298.14
100408,102632,8054.34
100409,170732,25679.43
100410,104340,7665.24
100411,40253,2244.28
100412,144159,25411.46
100413,196212,24537.05
100414,51525,4720.41
100415,152457,26736.0
100416,105532,10695.68
100417,325279,43653.54
100418,44717,8771.05
100419,95209,12152.9
100420,239305,45501.56
100421,66616,12970.37
100422,78148,7036.05
100423,80607,15366.32
100424,173594,23145.07
100425,150117,24801.34
100426,62498,4712.94
100427,87773,13854.85
100428,164628,10018.2
100429,82032,5842.99
100430,132122,18358.05
100431,75622,5219.93
100432,90082,10104.0
100433,48911,4969.21
100434,56100,11192.09
100435,125285,18380.31
100436,172165,26552.0
100437,117515,11872.83
100438,132763,16187.51
100439,67510,4306.98
100440,125413,14494.71
100441,175269,20522.41
100442,172007,10028.43
100443,51542,4303.15
100444,57713,6412.34
100445,88568,4499.46
100446,162909,22001.66
100447,69887,4068.69
100448,97768,18580.99
100449,97634,16692.91
100450,205445,14621.3
100451,96160,16493.46
100452,58767,10648.04
100453,133644,25017.15
100454,168882,26860.12
100455,126095,7793.27
100456,87911,13285.96
100457,156079,25033.98
100458,79754,9531.29
100459,143344,16730.16
100460,44979,7252.67
100461,77081,14507.64
100462,158187,11665.1
100463,156368,26942.71
100464,150854,17167.71
100465,159108,23938.21
100466,50584,9219.32
100467,146573,19629.25
100468,128359,18236.85
100469,129060,14032.77
100470,206571,37183.54
100471,74142,10654.58
100472,81431,13695.85
100473,51704,7611.07
100474,115566,14513.16
100475,85780,15327.82
100476,120135,22652.83
100477,163562,8809.67
100478,76604,13060.65
100479,98202,11352.36
100480,79233,9375.26
100481,133007,12402.15
100482,94115,4889.42
100483,104255,9804.65
100484,245782,24895.3
