employee_id,effective_date,event_type,from_department,to_department,from_grade,to_grade,from_title,to_title,from_salary,to_salary
100000,2021-11-01,Hire,,Marketing,,G3,,Marketing Specialist,,78466.0
100001,2026-01-27,Hire,,IT,,G5,,Staff Engineer,,156969.0
100002,2025-01-24,Hire,,IT,,G1,,IT Support Specialist I,,50713.0
100003,2019-06-28,Hire,,Finance,,G4,,Finance Lead,,106730.0
100003,2025-10-05,Termination,Finance,,G4,,Finance Lead,,112323.0,
100004,2024-04-12,Hire,,Customer Support,,G5,,Senior Support Specialist,,155669.0
100005,2023-11-17,Hire,,Finance,,G1,,Finance Analyst I,,48401.0
100006,2020-01-11,Hire,,Finance,,G2,,Finance Analyst II,,71558.0
100006,2025-07-23,Termination,Finance,,G3,,Senior Finance Analyst,,89162.0,
100007,2018-05-26,Hire,,Finance,,G6,,Finance Manager,,187274.0
100008,2018-04-16,Hire,,Operations,,G3,,Operations Analyst,,98820.0
100009,2020-12-18,Hire,,IT,,G2,,Software Engineer I,,76809.0
100010,2022-09-20,Hire,,Customer Support,,G3,,Senior Support Representative,,79646.0
100011,2022-11-23,Hire,,Sales,,G2,,Sales Representative II,,55352.0
100011,2023-11-19,Promotion,Sales,Sales,G2,G3,Sales Representative II,Senior Sales Representative,55352.0,76018.0
100011,2024-06-16,Termination,Sales,,G3,,Senior Sales Representative,,75271.0,
100012,2018-06-22,Hire,,IT,,G4,,Senior Software Engineer,,98819.0
100013,2016-12-02,Hire,,Finance,,G5,,Senior Finance Lead,,143664.0
100014,2019-07-27,Hire,,HR,,G3,,HR Specialist,,75107.0
100015,2020-07-27,Hire,,Marketing,,G2,,Marketing Coordinator II,,61229.0
100015,2024-09-14,Transfer,Operations,Marketing,G2,G2,Operations Coordinator II,Marketing Coordinator II,67045.0,67045.0
100016,2019-05-08,Hire,,Finance,,G5,,Senior Finance Lead,,159875.0
100017,2021-03-28,Hire,,HR,,G6,,HR Manager,,160063.0
100017,2023-08-08,Transfer,Operations,HR,G6,G6,Operations Manager,HR Manager,161722.0,161722.0
100017,2026-05-24,Termination,HR,,G6,,HR Manager,,161722.0,
100018,2020-01-28,Hire,,IT,,G2,,Software Engineer I,,75312.0
100019,2018-07-03,Hire,,Finance,,G4,,Finance Lead,,121909.0
100020,2022-09-05,Hire,,Finance,,G1,,Finance Analyst I,,51927.0
100021,2020-01-25,Hire,,Customer Support,,G2,,Support Representative II,,64983.0
100022,2023-05-23,Hire,,Customer Support,,G7,,Support Director,,230731.0
100022,2026-03-06,Transfer,Finance,Customer Support,G8,G8,VP of Finance,VP of Customer Success,283356.0,283356.0
100023,2017-07-22,Hire,,HR,,G4,,Senior HR Specialist,,104179.0
100024,2023-09-03,Hire,,HR,,G4,,Senior HR Specialist,,96665.0
100024,2024-09-07,Termination,HR,,G4,,Senior HR Specialist,,125628.0,
100025,2026-01-02,Hire,,Customer Support,,G4,,Support Specialist,,109274.0
100026,2023-03-17,Hire,,IT,,G1,,IT Support Specialist I,,52260.0
100026,2023-05-02,Promotion,IT,IT,G1,G2,IT Support Specialist I,Software Engineer I,52260.0,77480.0
100027,2024-10-15,Hire,,HR,,G3,,HR Specialist,,88731.0
100028,2018-08-26,Hire,,Sales,,G3,,Senior Sales Representative,,79654.0
100028,2024-10-11,Transfer,Operations,Sales,G3,G3,Operations Analyst,Senior Sales Representative,81152.0,81152.0
100029,2023-08-30,Hire,,Sales,,G3,,Senior Sales Representative,,78955.0
100030,2022-02-13,Hire,,Sales,,G4,,Sales Specialist,,99772.0
100030,2025-02-06,Transfer,Marketing,Sales,G4,G4,Senior Marketing Specialist,Sales Specialist,102219.0,102219.0
100031,2019-11-07,Hire,,IT,,G3,,Software Engineer II,,78118.0
100032,2023-10-04,Hire,,Finance,,G3,,Senior Finance Analyst,,90701.0
100033,2019-09-13,Hire,,Sales,,G3,,Senior Sales Representative,,84476.0
100033,2023-06-04,Promotion,Sales,Sales,G3,G4,Senior Sales Representative,Sales Specialist,84476.0,99327.0
100034,2022-12-06,Hire,,Marketing,,G4,,Senior Marketing Specialist,,105355.0
100035,2026-02-19,Hire,,Sales,,G1,,Sales Representative I,,51030.0
100036,2020-12-05,Hire,,Finance,,G3,,Senior Finance Analyst,,91569.0
100036,2022-06-29,Transfer,Marketing,Finance,G4,G4,Senior Marketing Specialist,Finance Lead,117258.0,117258.0
100037,2023-01-23,Hire,,Sales,,G4,,Sales Specialist,,104471.0
100038,2023-07-03,Hire,,Marketing,,G2,,Marketing Coordinator II,,58281.0
100038,2026-03-29,Transfer,IT,Marketing,G2,G2,Software Engineer I,Marketing Coordinator II,65237.0,65237.0
100039,2022-11-19,Hire,,HR,,G1,,HR Coordinator I,,50155.0
100040,2020-01-27,Hire,,Operations,,G1,,Operations Coordinator I,,47623.0
100041,2019-09-14,Hire,,IT,,G2,,Software Engineer I,,60153.0
100041,2025-12-16,Promotion,IT,IT,G2,G3,Software Engineer I,Software Engineer II,60153.0,103460.0
100042,2023-08-22,Hire,,IT,,G1,,IT Support Specialist I,,49293.0
100043,2025-07-06,Hire,,Sales,,G2,,Sales Representative II,,58060.0
100044,2017-09-07,Hire,,IT,,G3,,Software Engineer II,,76749.0
100045,2021-05-07,Hire,,Marketing,,G4,,Senior Marketing Specialist,,104269.0
100045,2022-05-04,Transfer,HR,Marketing,G4,G4,Senior HR Specialist,Senior Marketing Specialist,104304.0,104304.0
100046,2026-05-23,Hire,,HR,,G1,,HR Coordinator I,,54380.0
100047,2023-01-31,Hire,,IT,,G6,,Engineering Manager,,159791.0
100048,2017-05-22,Hire,,Marketing,,G3,,Marketing Specialist,,85604.0
100048,2019-11-26,Transfer,Operations,Marketing,G3,G3,Operations Analyst,Marketing Specialist,104114.0,104114.0
100049,2017-07-04,Hire,,Sales,,G4,,Sales Specialist,,102783.0
100049,2023-03-27,Termination,Sales,,G4,,Sales Specialist,,107676.0,
100050,2025-11-16,Hire,,HR,,G3,,HR Specialist,,86619.0
100050,2025-11-27,Transfer,Marketing,HR,G4,G4,Senior Marketing Specialist,Senior HR Specialist,119722.0,119722.0
100050,2026-03-08,Promotion,HR,HR,G3,G4,HR Specialist,Senior HR Specialist,86619.0,96919.0
100051,2020-05-16,Hire,,HR,,G6,,HR Manager,,161929.0
100051,2025-06-25,Termination,HR,,G7,,HR Director,,194725.0,
100052,2019-06-20,Hire,,Marketing,,G3,,Marketing Specialist,,96686.0
100052,2025-03-24,Transfer,HR,Marketing,G3,G3,HR Specialist,Marketing Specialist,97671.0,97671.0
100053,2018-08-04,Hire,,Finance,,G1,,Finance Analyst I,,46189.0
100054,2024-10-12,Hire,,Sales,,G1,,Sales Representative I,,54253.0
100055,2022-07-14,Hire,,Finance,,G2,,Finance Analyst II,,59889.0
100055,2025-02-03,Termination,Finance,,G3,,Senior Finance Analyst,,104902.0,
100056,2018-07-08,Hire,,HR,,G5,,HR Business Partner,,125839.0
100057,2017-05-29,Hire,,Sales,,G6,,Sales Manager,,165129.0
100058,2016-06-26,Hire,,IT,,G4,,Senior Software Engineer,,96137.0
100058,2026-05-22,Transfer,Operations,IT,G4,G4,Senior Operations Analyst,Senior Software Engineer,116686.0,116686.0
100059,2022-09-02,Hire,,Customer Support,,G5,,Senior Support Specialist,,133906.0
100059,2024-06-26,Transfer,Marketing,Customer Support,G5,G5,Marketing Lead,Senior Support Specialist,153743.0,153743.0
100060,2021-05-31,Hire,,HR,,G1,,HR Coordinator I,,40990.0
100061,2019-05-12,Hire,,Customer Support,,G1,,Support Representative I,,55136.0
100062,2026-02-18,Hire,,Operations,,G3,,Operations Analyst,,83933.0
100062,2026-06-06,Promotion,Operations,Operations,G3,G4,Operations Analyst,Senior Operations Analyst,83933.0,120816.0
100063,2022-10-01,Hire,,IT,,G2,,Software Engineer I,,66741.0
100064,2016-07-02,Hire,,HR,,G2,,HR Coordinator II,,55883.0
