employee_id,course_name,completion_date,skill_category,is_required
100000,Advanced Communication,2022-08-03,Communication,Yes
100000,Compliance Basics,2022-12-24,Compliance,Yes
100000,Performance Management,2023-06-27,Management,No
100000,Cross-functional Collaboration,2023-08-10,Communication,Yes
100000,Project Management Fundamentals,2023-10-26,Technical,Yes
100000,Communication Skills 101,2023-10-31,Communication,Yes
100000,Strategic Thinking,2024-05-27,Leadership,Yes
100000,Foundations of Excellence,2024-08-27,Technical,Yes
100000,Data-Driven Decision Making,2025-11-16,Technical,Yes
100001,People Management Basics,2026-01-29,Management,Yes
100001,Foundations of Excellence,2026-02-03,Technical,Yes
100001,Compliance Basics,2026-02-23,Compliance,Yes
100001,Leadership Essentials,2026-02-28,Leadership,Yes
100001,Executive Presence,2026-03-15,Leadership,Yes
100001,Advanced Communication,2026-03-16,Communication,Yes
100001,Communication Skills 101,2026-04-07,Communication,Yes
100001,Organizational Leadership,2026-04-07,Management,Yes
100001,Cross-functional Collaboration,2026-05-07,Communication,Yes
100001,Project Management Fundamentals,2026-05-10,Technical,Yes
100001,Business Strategy,2026-05-31,Management,Yes
100001,Data-Driven Decision Making,2026-06-06,Technical,Yes
100001,Cloud Computing Basics,2026-06-12,Technical,No
100002,Change Management,2025-02-23,Leadership,No
100002,Power BI Fundamentals,2025-10-08,Technical,No
100002,Compliance Basics,2026-01-31,Compliance,Yes
100002,Project Management Fundamentals,2026-04-16,Technical,Yes
100003,Python for Data Analysis,2019-10-04,Technical,No
100003,Project Management Fundamentals,2019-12-12,Technical,Yes
100003,Business Writing,2020-06-28,Communication,No
100003,Strategic Thinking,2021-04-02,Leadership,Yes
100003,Foundations of Excellence,2023-02-15,Technical,Yes
100003,Excel Advanced,2024-02-14,Technical,No
100003,Advanced Communication,2024-10-09,Communication,Yes
100003,SQL Essentials,2024-11-03,Technical,No
100003,Cross-functional Collaboration,2025-03-28,Communication,Yes
100003,Data-Driven Decision Making,2025-05-22,Technical,Yes
100003,Compliance Basics,2025-09-13,Compliance,Yes
100004,Business Strategy,2024-04-12,Management,Yes
100004,Foundations of Excellence,2024-04-30,Technical,Yes
100004,Leadership Essentials,2024-05-13,Leadership,Yes
100004,Advanced Communication,2024-07-22,Communication,Yes
100004,Executive Leadership Program,2024-09-04,Leadership,Yes
100004,Executive Presence,2024-11-20,Leadership,Yes
100004,Compliance Basics,2024-12-04,Compliance,Yes
100004,People Management Basics,2025-01-12,Management,Yes
100004,Project Management Fundamentals,2025-02-25,Technical,Yes
100004,Data-Driven Decision Making,2025-03-01,Technical,Yes
100004,Presentation Skills,2025-10-15,Communication,No
100004,Strategic Thinking,2025-11-12,Leadership,Yes
100004,Communication Skills 101,2025-12-26,Communication,Yes
100004,Organizational Leadership,2026-01-11,Management,Yes
100004,Cross-functional Collaboration,2026-05-19,Communication,Yes
100005,Project Management Fundamentals,2024-07-29,Technical,Yes
100005,Workplace Safety,2025-08-04,Compliance,No
100005,Anti-Harassment Training,2025-12-15,Compliance,No
100005,Compliance Basics,2026-03-18,Compliance,Yes
100005,Foundations of Excellence,2026-04-05,Technical,Yes
100006,Project Management Fundamentals,2020-02-09,Technical,Yes
100006,Communication Skills 101,2020-05-05,Communication,Yes
100006,Foundations of Excellence,2021-06-12,Technical,Yes
100006,Compliance Basics,2021-09-17,Compliance,Yes
100006,Data-Driven Decision Making,2021-12-07,Technical,Yes
100006,Strategic Thinking,2021-12-30,Leadership,Yes
100006,Cross-functional Collaboration,2024-03-06,Communication,Yes
100006,Talent Acquisition,2024-11-19,Management,No
100006,Python for Data Analysis,2025-04-01,Technical,No
100007,Executive Leadership Program,2019-04-21,Leadership,Yes
100007,Workplace Safety,2019-10-07,Compliance,No
100007,Data-Driven Decision Making,2019-10-18,Technical,Yes
100007,Executive Presence,2020-07-19,Leadership,Yes
100007,Cross-functional Collaboration,2021-03-14,Communication,Yes
100007,Foundations of Excellence,2023-02-10,Technical,Yes
100007,Leadership Essentials,2023-05-13,Leadership,Yes
100007,Organizational Leadership,2023-10-05,Management,Yes
100007,Advanced Communication,2023-12-24,Communication,Yes
100007,Business Strategy,2024-01-01,Management,Yes
100007,Strategic Thinking,2024-06-21,Leadership,Yes
100007,People Management Basics,2024-10-30,Management,Yes
100007,Project Management Fundamentals,2024-11-29,Technical,Yes
100007,Compliance Basics,2025-03-19,Compliance,Yes
100007,Communication Skills 101,2026-01-01,Communication,Yes
100008,Communication Skills 101,2018-08-19,Communication,Yes
100008,Data-Driven Decision Making,2018-09-29,Technical,Yes
100008,Strategic Thinking,2018-10-14,Leadership,Yes
100008,Cross-functional Collaboration,2019-11-23,Communication,Yes
100008,Compliance Basics,2020-02-17,Compliance,Yes
100008,Anti-Harassment Training,2020-03-10,Compliance,No
100008,Talent Acquisition,2021-11-22,Management,No
100008,Advanced Communication,2023-04-22,Communication,Yes
100008,Project Management Fundamentals,2023-07-23,Technical,Yes
100008,Foundations of Excellence,2024-07-29,Technical,Yes
100008,SQL Essentials,2025-04-30,Technical,No
100008,Presentation Skills,2025-05-27,Communication,No
100009,Cross-functional Collaboration,2021-02-04,Communication,Yes
100009,Strategic Thinking,2021-05-29,Leadership,Yes
100009,Presentation Skills,2021-09-19,Communication,No
100009,Advanced Communication,2023-09-01,Communication,Yes
100009,Communication Skills 101,2024-06-30,Communication,Yes
100009,Compliance Basics,2025-03-06,Compliance,Yes
100009,Project Management Fundamentals,2025-11-29,Technical,Yes
100009,Foundations of Excellence,2026-02-10,Technical,Yes
100009,Data-Driven Decision Making,2026-04-09,Technical,Yes
100010,Coaching Skills,2022-09-26,Leadership,No
100010,Communication Skills 101,2022-12-04,Communication,Yes
100010,Foundations of Excellence,2023-01-23,Technical,Yes
100010,Cross-functional Collaboration,2023-06-04,Communication,Yes
