employee_id,pay_period,gross_pay,tax,benefit_deduction,retirement,net_pay
100000,2025-01-01,8654.5,1903.99,100,432.72,6217.79
100001,2025-01-01,16106.42,3543.41,220,805.32,11537.69
100002,2025-01-01,5169.08,1137.2,100,258.45,3673.43
100003,2025-01-01,9406.25,2069.38,400,470.31,6466.56
100004,2025-01-01,16131.08,3548.84,100,806.55,11675.69
100005,2025-01-01,4848.08,1066.58,400,242.4,3139.1
100006,2025-01-01,7907.17,1739.58,100,395.36,5672.23
100007,2025-01-01,16857.25,3708.6,100,842.86,12205.79
100008,2025-01-01,9542.33,2099.31,220,477.12,6745.9
100009,2025-01-01,7048.5,1550.67,220,352.42,4925.41
100010,2025-01-01,8431.0,1854.82,220,421.55,5934.63
100012,2025-01-01,9869.67,2171.33,100,493.48,7104.86
100013,2025-01-01,12403.83,2728.84,220,620.19,8834.8
100014,2025-01-01,8716.17,1917.56,220,435.81,6142.8
100015,2025-01-01,6129.08,1348.4,400,306.45,4074.23
100016,2025-01-01,16948.17,3728.6,100,847.41,12272.16
100017,2025-01-01,13576.83,2986.9,220,678.84,9691.09
100018,2025-01-01,6747.17,1484.38,220,337.36,4705.43
100019,2025-01-01,11934.0,2625.48,400,596.7,8311.82
100020,2025-01-01,5297.67,1165.49,220,264.88,3647.3
100021,2025-01-01,6841.5,1505.13,220,342.08,4774.29
100022,2025-01-01,24112.0,5304.64,220,1205.6,17381.76
100023,2025-01-01,9779.17,2151.42,400,488.96,6738.79
100025,2025-01-01,10806.33,2377.39,100,540.32,7788.62
100026,2025-01-01,4895.42,1076.99,220,244.77,3353.66
100027,2025-01-01,8524.83,1875.46,220,426.24,6003.13
100028,2025-01-01,7007.67,1541.69,100,350.38,5015.6
100029,2025-01-01,7737.17,1702.18,220,386.86,5428.13
100030,2025-01-01,8774.25,1930.34,220,438.71,6185.2
100031,2025-01-01,8273.25,1820.12,100,413.66,5939.47
100032,2025-01-01,9431.5,2074.93,220,471.58,6664.99
100033,2025-01-01,9369.17,2061.22,220,468.46,6619.49
100034,2025-01-01,12057.58,2652.67,220,602.88,8582.03
100035,2025-01-01,6849.67,1506.93,100,342.48,4900.26
100036,2025-01-01,10071.5,2215.73,100,503.58,7252.19
100037,2025-01-01,11133.42,2449.35,400,556.67,7727.4
100038,2025-01-01,5946.42,1308.21,220,297.32,4120.89
100039,2025-01-01,4923.17,1083.1,220,246.16,3373.91
100040,2025-01-01,7241.75,1593.18,400,362.09,4886.48
100041,2025-01-01,8156.92,1794.52,220,407.85,5734.55
100042,2025-01-01,4533.33,997.33,220,226.67,3089.33
100043,2025-01-01,8171.58,1797.75,100,408.58,5865.25
100044,2025-01-01,7098.42,1561.65,220,354.92,4961.85
100045,2025-01-01,8758.0,1926.76,100,437.9,6293.34
100046,2025-01-01,6094.92,1340.88,220,304.75,4229.29
100047,2025-01-01,13940.0,3066.8,100,697.0,10076.2
100048,2025-01-01,8787.17,1933.18,100,439.36,6314.63
100050,2025-01-01,10364.83,2280.26,220,518.24,7346.33
100051,2025-01-01,16634.08,3659.5,100,831.7,12042.88
100052,2025-01-01,8192.25,1802.3,100,409.61,5880.34
100053,2025-01-01,4255.08,936.12,220,212.75,2886.21
100054,2025-01-01,5136.08,1129.94,100,256.8,3649.34
100055,2025-01-01,8852.83,1947.62,100,442.64,6362.57
100056,2025-01-01,10603.25,2332.72,100,530.16,7640.37
100057,2025-01-01,16226.0,3569.72,220,811.3,11624.98
100058,2025-01-01,10026.83,2205.9,220,501.34,7099.59
100059,2025-01-01,13115.92,2885.5,220,655.8,9354.62
100060,2025-01-01,5096.5,1121.23,400,254.82,3320.45
100061,2025-01-01,6197.0,1363.34,100,309.85,4423.81
100062,2025-01-01,10846.17,2386.16,100,542.31,7817.7
100063,2025-01-01,7936.17,1745.96,100,396.81,5693.4
100064,2025-01-01,6687.33,1471.21,100,334.37,4781.75
