employee_id,review_year,review_period,rating,potential,manager_score,goals_met_pct
100000,2022,Annual,Unsatisfactory,Low,2.2,15
100000,2023,Annual,Exceeds Expectations,Medium,8.1,79
100000,2024,Annual,Exceeds Expectations,Medium,7.5,83
100000,2025,Annual,Meets Expectations,Low,6.8,67
100002,2025,Annual,Meets Expectations,Medium,5.6,56
100003,2022,Annual,Exceeds Expectations,High,8.4,73
100003,2023,Annual,Meets Expectations,Medium,6.3,55
100003,2024,Annual,Exceeds Expectations,Medium,7.8,79
100003,2025,Annual,Exceeds Expectations,Medium,7.8,81
100004,2024,Annual,Exceptional,High,9.3,88
100004,2025,Annual,Exceptional,High,9.0,93
100005,2023,Annual,Meets Expectations,Medium,6.7,68
100005,2024,Annual,Meets Expectations,Low,7.0,50
100005,2025,Annual,Below Expectations,Low,3.6,31
100006,2022,Annual,Meets Expectations,Medium,6.4,66
100006,2023,Annual,Below Expectations,Low,3.6,44
100006,2024,Annual,Meets Expectations,Low,6.9,50
100006,2025,Annual,Below Expectations,Medium,3.8,40
100007,2022,Annual,Exceeds Expectations,High,8.5,78
100007,2023,Annual,Meets Expectations,Low,5.6,56
100007,2024,Annual,Meets Expectations,Medium,6.7,51
100007,2025,Annual,Exceptional,High,9.4,99
100008,2022,Annual,Unsatisfactory,Low,0.8,0
100008,2023,Annual,Exceeds Expectations,High,7.6,72
100008,2024,Annual,Below Expectations,Medium,3.7,38
100008,2025,Annual,Meets Expectations,Medium,6.6,62
100009,2022,Annual,Meets Expectations,Medium,5.4,65
100009,2023,Annual,Meets Expectations,Medium,6.8,50
100009,2024,Annual,Exceptional,High,9.5,96
100009,2025,Annual,Exceeds Expectations,Medium,7.7,72
100010,2022,Annual,Meets Expectations,Medium,5.9,58
100010,2023,Annual,Exceeds Expectations,Medium,7.0,85
100010,2024,Annual,Exceptional,High,9.5,89
100010,2025,Annual,Exceeds Expectations,Medium,7.9,72
100011,2022,Annual,Exceeds Expectations,Medium,7.8,72
100011,2023,Annual,Exceeds Expectations,Medium,7.7,83
100011,2024,Annual,Exceeds Expectations,Medium,8.3,85
100012,2022,Annual,Exceptional,Medium,9.9,97
100012,2023,Annual,Meets Expectations,Medium,5.0,70
100012,2024,Annual,Below Expectations,Low,3.4,35
100012,2025,Annual,Meets Expectations,Medium,6.5,57
100013,2022,Annual,Exceptional,High,8.8,94
100013,2023,Annual,Exceeds Expectations,High,7.3,77
100013,2024,Annual,Meets Expectations,Medium,6.9,64
100013,2025,Annual,Meets Expectations,Low,5.6,68
100014,2022,Annual,Meets Expectations,Medium,5.6,56
100014,2023,Annual,Meets Expectations,Medium,6.3,50
100014,2024,Annual,Exceeds Expectations,High,8.4,74
100014,2025,Annual,Unsatisfactory,Low,1.9,24
100015,2022,Annual,Below Expectations,Medium,4.5,36
100015,2023,Annual,Meets Expectations,Low,5.3,55
100015,2024,Annual,Meets Expectations,Medium,5.7,64
100015,2025,Annual,Meets Expectations,Medium,6.7,56
100016,2022,Annual,Exceptional,High,9.7,88
100016,2023,Annual,Exceeds Expectations,Medium,7.6,82
100016,2024,Annual,Exceeds Expectations,Medium,7.3,76
100016,2025,Annual,Meets Expectations,Low,6.0,66
100017,2022,Annual,Meets Expectations,Medium,5.5,63
100017,2023,Annual,Meets Expectations,Medium,6.0,61
100017,2024,Annual,Meets Expectations,Medium,6.2,63
100017,2025,Annual,Meets Expectations,Low,5.0,70
100018,2022,Annual,Meets Expectations,Medium,5.1,69
100018,2023,Annual,Meets Expectations,Low,5.8,50
100018,2024,Annual,Meets Expectations,Low,6.9,51
100018,2025,Annual,Below Expectations,Medium,4.8,50
100019,2022,Annual,Exceeds Expectations,Medium,7.2,82
100019,2023,Annual,Meets Expectations,Medium,6.1,62
100019,2024,Annual,Meets Expectations,Medium,6.9,59
100019,2025,Annual,Meets Expectations,Low,6.6,66
100020,2022,Annual,Meets Expectations,Medium,5.0,68
100020,2023,Annual,Unsatisfactory,Low,0.3,10
100020,2024,Annual,Meets Expectations,Medium,5.7,60
100020,2025,Annual,Below Expectations,Medium,3.4,45
100021,2022,Annual,Exceeds Expectations,Medium,8.5,70
100021,2023,Annual,Meets Expectations,Medium,5.8,64
100021,2024,Annual,Meets Expectations,Medium,5.1,64
100021,2025,Annual,Exceptional,High,10.0,88
100022,2023,Annual,Exceptional,High,8.6,91
100022,2024,Annual,Exceeds Expectations,Medium,7.2,84
100022,2025,Annual,Exceeds Expectations,High,8.0,85
100023,2022,Annual,Meets Expectations,Low,5.2,68
100023,2023,Annual,Meets Expectations,Medium,6.9,51
100023,2024,Annual,Exceptional,High,8.7,96
100023,2025,Annual,Unsatisfactory,Low,1.4,28
100024,2023,Annual,Meets Expectations,Medium,5.7,65
