date,warehouse_id,warehouse_name,region,product_id,product_name,category,supplier_name,lead_time_days,unit_cost,unit_price,beginning_inventory,units_received,units_demanded,units_sold,ending_inventory,reorder_point,safety_stock,stockout_flag,days_of_supply
2026-05-06,WH-EAST,Newark DC,Northeast,E1,Wireless Earbuds Pro,Electronics,TechSource Asia,8,22.0,49.99,178,0,10,10,168,119,32,False,15.6
2026-05-07,WH-EAST,Newark DC,Northeast,E1,Wireless Earbuds Pro,Electronics,TechSource Asia,9,22.0,49.99,168,0,6,6,162,119,32,False,15.0
2026-05-08,WH-EAST,Newark DC,Northeast,E1,Wireless Earbuds Pro,Electronics,TechSource Asia,9,22.0,49.99,162,0,17,17,145,119,32,False,13.4
2026-05-09,WH-EAST,Newark DC,Northeast,E1,Wireless Earbuds Pro,Electronics,TechSource Asia,10,22.0,49.99,145,0,7,7,138,119,32,False,12.8
2026-05-10,WH-EAST,Newark DC,Northeast,E1,Wireless Earbuds Pro,Electronics,TechSource Asia,10,22.0,49.99,138,0,5,5,133,119,32,False,12.3
2026-05-11,WH-EAST,Newark DC,Northeast,E1,Wireless Earbuds Pro,Electronics,TechSource Asia,9,22.0,49.99,133,0,9,9,124,119,32,False,11.5
2026-05-12,WH-EAST,Newark DC,Northeast,E1,Wireless Earbuds Pro,Electronics,TechSource Asia,9,22.0,49.99,124,0,7,7,117,119,32,False,10.8
2026-05-13,WH-EAST,Newark DC,Northeast,E1,Wireless Earbuds Pro,Electronics,TechSource Asia,7,22.0,49.99,117,0,8,8,109,119,32,False,10.1
2026-05-14,WH-EAST,Newark DC,Northeast,E1,Wireless Earbuds Pro,Electronics,TechSource Asia,9,22.0,49.99,109,0,14,14,95,119,32,False,8.8
2026-05-15,WH-EAST,Newark DC,Northeast,E1,Wireless Earbuds Pro,Electronics,TechSource Asia,9,22.0,49.99,95,0,10,10,85,119,32,False,7.9
2026-05-16,WH-EAST,Newark DC,Northeast,E1,Wireless Earbuds Pro,Electronics,TechSource Asia,9,22.0,49.99,85,0,2,2,83,119,32,False,7.7
2026-05-17,WH-EAST,Newark DC,Northeast,E1,Wireless Earbuds Pro,Electronics,TechSource Asia,8,22.0,49.99,83,0,8,8,75,119,32,False,6.9
2026-05-18,WH-EAST,Newark DC,Northeast,E1,Wireless Earbuds Pro,Electronics,TechSource Asia,5,22.0,49.99,75,0,14,14,61,119,32,False,5.6
2026-05-19,WH-EAST,Newark DC,Northeast,E1,Wireless Earbuds Pro,Electronics,TechSource Asia,9,22.0,49.99,61,0,11,11,50,119,32,False,4.6
2026-05-20,WH-EAST,Newark DC,Northeast,E1,Wireless Earbuds Pro,Electronics,TechSource Asia,7,22.0,49.99,50,0,10,10,40,119,32,False,3.7
2026-05-21,WH-EAST,Newark DC,Northeast,E1,Wireless Earbuds Pro,Electronics,TechSource Asia,8,22.0,49.99,40,173,15,15,198,119,32,False,18.3
2026-05-22,WH-EAST,Newark DC,Northeast,E1,Wireless Earbuds Pro,Electronics,TechSource Asia,7,22.0,49.99,198,0,8,8,190,119,32,False,17.6
2026-05-23,WH-EAST,Newark DC,Northeast,E1,Wireless Earbuds Pro,Electronics,TechSource Asia,9,22.0,49.99,190,0,6,6,184,119,32,False,17.0
2026-05-24,WH-EAST,Newark DC,Northeast,E1,Wireless Earbuds Pro,Electronics,TechSource Asia,7,22.0,49.99,184,0,7,7,177,119,32,False,16.4
2026-05-25,WH-EAST,Newark DC,Northeast,E1,Wireless Earbuds Pro,Electronics,TechSource Asia,7,22.0,49.99,177,0,12,12,165,119,32,False,15.3
2026-05-26,WH-EAST,Newark DC,Northeast,E1,Wireless Earbuds Pro,Electronics,TechSource Asia,6,22.0,49.99,165,0,16,16,149,119,32,False,13.8
2026-05-27,WH-EAST,Newark DC,Northeast,E1,Wireless Earbuds Pro,Electronics,TechSource Asia,7,22.0,49.99,149,0,13,13,136,119,32,False,12.6
2026-05-28,WH-EAST,Newark DC,Northeast,E1,Wireless Earbuds Pro,Electronics,TechSource Asia,8,22.0,49.99,136,0,6,6,130,119,32,False,12.0
2026-05-29,WH-EAST,Newark DC,Northeast,E1,Wireless Earbuds Pro,Electronics,TechSource Asia,9,22.0,49.99,130,0,7,7,123,119,32,False,11.4
2026-05-30,WH-EAST,Newark DC,Northeast,E1,Wireless Earbuds Pro,Electronics,TechSource Asia,8,22.0,49.99,123,0,9,9,114,119,32,False,10.6
2026-05-31,WH-EAST,Newark DC,Northeast,E1,Wireless Earbuds Pro,Electronics,TechSource Asia,8,22.0,49.99,114,0,5,5,109,119,32,False,10.1
2026-06-01,WH-EAST,Newark DC,Northeast,E1,Wireless Earbuds Pro,Electronics,TechSource Asia,7,22.0,49.99,109,0,12,12,97,119,32,False,9.0
2026-06-02,WH-EAST,Newark DC,Northeast,E1,Wireless Earbuds Pro,Electronics,TechSource Asia,9,22.0,49.99,97,0,11,11,86,119,32,False,8.0
2026-06-03,WH-EAST,Newark DC,Northeast,E1,Wireless Earbuds Pro,Electronics,TechSource Asia,9,22.0,49.99,86,0,11,11,75,119,32,False,6.9
2026-06-04,WH-EAST,Newark DC,Northeast,E1,Wireless Earbuds Pro,Electronics,TechSource Asia,9,22.0,49.99,75,0,11,11,64,119,32,False,5.9
2026-06-05,WH-EAST,Newark DC,Northeast,E1,Wireless Earbuds Pro,Electronics,TechSource Asia,8,22.0,49.99,64,0,9,9,55,119,32,False,5.1
2026-06-06,WH-EAST,Newark DC,Northeast,E1,Wireless Earbuds Pro,Electronics,TechSource Asia,7,22.0,49.99,55,0,5,5,50,119,32,False,4.6
2026-06-07,WH-EAST,Newark DC,Northeast,E1,Wireless Earbuds Pro,Electronics,TechSource Asia,7,22.0,49.99,50,173,7,7,216,119,32,False,20.0
2026-06-08,WH-EAST,Newark DC,Northeast,E1,Wireless Earbuds Pro,Electronics,TechSource Asia,7,22.0,49.99,216,0,9,9,207,119,32,False,19.2
2026-06-09,WH-EAST,Newark DC,Northeast,E1,Wireless Earbuds Pro,Electronics,TechSource Asia,9,22.0,49.99,207,0,9,9,198,119,32,False,18.3
2026-06-10,WH-EAST,Newark DC,Northeast,E1,Wireless Earbuds Pro,Electronics,TechSource Asia,8,22.0,49.99,198,0,17,17,181,119,32,False,16.8
2026-06-11,WH-EAST,Newark DC,Northeast,E1,Wireless Earbuds Pro,Electronics,TechSource Asia,7,22.0,49.99,181,0,11,11,170,119,32,False,15.7
2026-06-12,WH-EAST,Newark DC,Northeast,E1,Wireless Earbuds Pro,Electronics,TechSource Asia,8,22.0,49.99,170,0,12,12,158,119,32,False,14.6
2026-06-13,WH-EAST,Newark DC,Northeast,E1,Wireless Earbuds Pro,Electronics,TechSource Asia,9,22.0,49.99,158,0,7,7,151,119,32,False,14.0
2026-06-14,WH-EAST,Newark DC,Northeast,E1,Wireless Earbuds Pro,Electronics,TechSource Asia,10,22.0,49.99,151,0,7,7,144,119,32,False,13.3
2026-06-15,WH-EAST,Newark DC,Northeast,E1,Wireless Earbuds Pro,Electronics,TechSource Asia,10,22.0,49.99,144,0,6,6,138,119,32,False,12.8
2026-06-16,WH-EAST,Newark DC,Northeast,E1,Wireless Earbuds Pro,Electronics,TechSource Asia,7,22.0,49.99,138,0,12,12,126,119,32,False,11.7
2026-06-17,WH-EAST,Newark DC,Northeast,E1,Wireless Earbuds Pro,Electronics,TechSource Asia,7,22.0,49.99,126,0,13,13,113,119,32,False,10.5
2026-06-18,WH-EAST,Newark DC,Northeast,E1,Wireless Earbuds Pro,Electronics,TechSource Asia,8,22.0,49.99,113,0,10,10,103,119,32,False,9.5
2026-06-19,WH-EAST,Newark DC,Northeast,E1,Wireless Earbuds Pro,Electronics,TechSource Asia,10,22.0,49.99,103,0,9,9,94,119,32,False,8.7
2026-06-20,WH-EAST,Newark DC,Northeast,E1,Wireless Earbuds Pro,Electronics,TechSource Asia,8,22.0,49.99,94,0,9,9,85,119,32,False,7.9
